Region,China,EU27,India,RoW,Russia,USA
TSP (total suspended particulate) (air - Emiss),1056587.212438875,921042.910252919,1599745.3415914073,4447696.431293813,170089.32083554423,261451.08092342367
N (water - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
P (water - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
BOD (water - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
N (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
P (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Cd (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Cu (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Zn (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Pb (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Hg (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Cr (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
Ni (soil - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
C (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
other emissions (undef - Emiss),69422507.24853382,99775024.71997248,72220257.96538705,249290404.7263901,13577510.10642383,60760681.16614005
"Carbon dioxide, biogenic (air - Emiss)",427762115.6593772,322744668.01684123,659077717.9412242,1900354426.9854424,76365167.98276971,229067834.2186914
Other emissions nec (air - Emiss),0.0,0.0,0.0,0.0,0.0,0.0
"Carbon dioxide, fossil (air - Emis_unreg_w)",6977395.989224874,3719467.693241573,12659439.522018706,30471898.36089619,2175872.532025317,5209348.741787658
N2O (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
CH4 (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
HFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
SF6 (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
NOX  (air - Emis_unreg_w),784.9224175071865,418.7323613863219,1423.6001035292154,3438.619024924212,244.6848016772105,585.8102478050439
SOx (air - Emis_unreg_w),8.992315074354176,4.797128023649123,16.309205069557997,39.39388785835505,2.803185106593285,6.711224198154872
NH3 (air - Emis_unreg_w),0.3556838555584815,0.1896298296628886,0.6454575189558233,1.553561051521147,0.1109396101877757,0.2656052273962604
NMVOC (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
CO  (air - Emis_unreg_w),144.39786117646074,76.97687343207856,262.005018277166,630.6339368442481,45.03276163229459,107.81484519467053
CFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
HCFCs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Pb (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cd (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Hg (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
As (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cr (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cu (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Ni (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Se (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Zn (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Aldrin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Chlordane (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Chlordecone (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Dieldrin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Endrin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Heptachlor (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Hexabr.-biph. (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Mirex (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Toxaphene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
HCH (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
DDT (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PCB (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
dioxin (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PM10 (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
"PAH (total of 4 components, sum of EM_AIR.43, 45, 46, 47) (air - Emis_unreg_w)",0.0,0.0,0.0,0.0,0.0,0.0
Benzene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
"1,3 Butadiene (air - Emis_unreg_w)",0.0,0.0,0.0,0.0,0.0,0.0
Formaldehyd (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PM2.5 (air - Emis_unreg_w),48.28738766029554,25.74146249818704,87.61582604766963,210.8872328996842,15.059187169641918,36.05383890754256
Furans (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[a]-pyrene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PBDEs (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[b]-fluoranthene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Benzo-[k]-fluoranthene (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
"Indeno-[1,2,3-cd]-pyrene (air - Emis_unreg_w)",0.0,0.0,0.0,0.0,0.0,0.0
HCB (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
PCDD/F (dioxins and furans) (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
TSP (total suspended particulate) (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
N (water - Emis_unreg_w),159506.5632386427,84918.43563616356,288828.30400394,695413.8382680523,49643.08032111803,118852.60476735936
P (water - Emis_unreg_w),27.066409995058702,14.430041953614516,49.116634052529726,118.21957118465836,8.442043163953324,20.21145369571884
BOD (water - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
N (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
P (soil - Emis_unreg_w),906.2580725931724,483.1576116192999,1644.5604022415982,3958.317366217354,282.6628935240923,676.7352254669997
Cd (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cu (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Zn (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Pb (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Hg (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Cr (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Ni (soil - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
C (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
other emissions (undef - Emis_unreg_w),2906511.243228871,1549357.1944967366,5273591.689777333,12693269.90737794,906411.6369731738,2170078.556408399
"Carbon dioxide, biogenic (air - Emis_unreg_w)",6998044.385860809,3730703.363291743,12698479.12299263,30564292.9006305,2182582.5596724213,5225413.504910377
Other emissions nec (air - Emis_unreg_w),0.0,0.0,0.0,0.0,0.0,0.0
Food (waste_sup),56151335.99045149,30573593.184170097,57637249.49802794,178277917.0236672,9504855.514686136,19988794.831725053
Manure (waste_sup),0.0,0.0,0.0,0.0,0.0,0.0
Textile (waste_sup),491486.98961720977,390589.6675369699,123193.82475982702,1375044.5275954795,74656.72867434467,214466.0407683822
Wood (waste_sup),69340.46003895959,170841.74579712786,124814.47288906923,463335.6033583437,18823.65932234327,72720.51080181907
Paper (waste_sup),5352914.925135978,3280172.0381313018,1432942.4342017055,7898439.727243085,1089447.7488948193,4865491.139234549
Plastics (waste_sup),11952400.87324581,21833768.416729026,2545219.4077282976,28738283.379029103,4388234.3464388205,6605967.191270523
Glass (waste_sup),697624.2919475171,9598658.48871944,5697.89784908444,3553736.174165356,286821.5645064776,2341188.550804122
Ashes (waste_sup),7372049.66423466,1907074.9023379453,2286272.106945448,6158846.578556335,283493.5455626224,193888.8397719399
Steel (waste_sup),202722.9536219984,230519.3750205272,51292.19639564237,581165.1800403603,134194.33890048927,133166.94029480612
Precious metals (waste_sup),8.055224257184776,3.519931709356676,0.5720050265961008,29.26011649381533,0.1341542137992601,11.102563806645138
Aluminium (waste_sup),12288.984448871448,29287.128429195007,1114.1744871945548,102721.44606107369,40621.9125299335,304490.16774812725
Lead (waste_sup),528.0101290470493,1684.010048322674,34.0687307698861,4308.356881187901,116.68200810172785,2433.2935456003675
Copper (waste_sup),1604.7110742250875,1004.8741801663376,239.36958304810284,4693.457194963372,715.5010954408795,925.7058931158472
non-ferrous metals (waste_sup),3041.4996618841687,4351.667525891666,454.0125118856113,21357.058856466065,909.9534901218848,3781.206010488452
Construction materials and mining waste (excl. unused mining material) (waste_sup),1324.4865796970157,45987.83431698628,658.990326650779,71532.74698466134,9605.589873357594,13753.99380547843
Oils and hazardous materials (waste_sup),60257.74010545928,956769.5113063212,6710.209608702879,5074092.278881854,2136.3900602750223,27431.53798821716
Sewage (waste_sup),40208851.72273819,25662555.29009712,42680471.84408727,125445802.17777108,7816230.713048717,17110465.67044438
Mining waste (waste_sup),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (waste_sup),0.0,0.0,0.0,0.0,0.0,0.0
Food (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Manure (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Textile (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Wood (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Paper (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Glass (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Ashes (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Steel (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Precious metals (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Aluminium (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Lead (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Copper (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
non-ferrous metals (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Construction materials and mining waste (excl. unused mining material) (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Sewage (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (waste_use),0.0,0.0,0.0,0.0,0.0,0.0
Food (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Paper (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Glass (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Ashes (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Precious metals (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Aluminium (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Lead (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Copper (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
non-ferrous metals (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Construction materials and mining waste (excl. unused mining material) (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Sewage (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (pack_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (pack_use_waste),22844.826219424755,101084.361105663,29351.192418770133,367275.353722419,16409.17572053548,37269.63473911419
Paper (pack_use_waste),4957366.908488083,1353163.3885414766,863162.8571734872,4582032.259866724,786271.1365754836,2704134.111958893
Plastics (pack_use_waste),12775652.205576751,5653660.525171512,2638813.5631257524,21739424.837307166,3208834.0113997743,6815944.435354847
Glass (pack_use_waste),697046.7202138663,9965703.93362957,5613.736144404509,3515901.9378344063,294613.5915043275,2288987.5461144387
Ashes (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (pack_use_waste),1503.2808926370808,48574.59298539951,1553.340863607797,91704.66171720864,26716.773335158072,5090.423150978811
Precious metals (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Aluminium (pack_use_waste),5784.149849880492,23878.62103840653,505.5274881806077,86619.12390790442,39589.48665096224,296860.39400291065
Lead (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Copper (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
non-ferrous metals (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Construction materials and mining waste (excl. unused mining material) (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Sewage (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (pack_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Paper (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (mach_sup_waste),5129674.318444066,2681689.094385364,434315.948115228,11329412.87168526,110271.21532228154,4503259.721503086
Glass (mach_sup_waste),92267.6918594017,115613.0650788454,6267.108354436446,204755.50910963275,1836.1924655637624,114631.1815608592
Ashes (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (mach_sup_waste),22443408.54995189,10601460.040641584,5958530.028162818,30793821.23048184,213677.1272718747,7706764.3640550785
Precious metals (mach_sup_waste),1.8838661371096104,2.433312055700928,0.8269491892064197,9.9001353988374,0.0375687085816389,4.731594703279752
Aluminium (mach_sup_waste),370548.4111728462,397323.12862354046,38032.97433054172,989712.2242094788,9696.824764028135,407199.4804639554
Lead (mach_sup_waste),1075.178361141359,3152.766460852205,201.8778478031851,4302.822148999245,37.11469280703025,3926.3761819228966
Copper (mach_sup_waste),16284.305774244063,25413.52864582949,5345.663944547996,103680.8628944587,680.3826477978878,25008.06833468561
non-ferrous metals (mach_sup_waste),7123.985678464425,9191.841616481244,2850.444021400488,32828.3734259547,127.66168075032029,7292.361308837229
Construction materials and mining waste (excl. unused mining material) (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (mach_sup_waste),20605.235354599445,20516.649625338483,3361.8160491391222,23251.14464888131,187.9242266475992,14803.604220602165
Sewage (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (mach_sup_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Manure (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Textile (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Wood (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Paper (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Plastics (mach_use_waste),5129674.318444066,2681689.094385364,434315.948115228,11329412.87168526,110271.21532228154,4503259.721503086
Glass (mach_use_waste),92267.6918594017,115613.0650788454,6267.108354436446,204755.50910963275,1836.1924655637624,114631.1815608592
Ashes (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Steel (mach_use_waste),22443408.54995189,10601460.040641584,5958530.028162818,30793821.23048184,213677.1272718747,7706764.3640550785
Precious metals (mach_use_waste),1.8838661371096104,2.433312055700928,0.8269491892064197,9.9001353988374,0.0375687085816389,4.731594703279752
Aluminium (mach_use_waste),370548.4111728462,397323.12862354046,38032.97433054172,989712.2242094788,9696.824764028135,407199.4804639554
Lead (mach_use_waste),1075.178361141359,3152.766460852205,201.8778478031851,4302.822148999245,37.11469280703025,3926.3761819228966
Copper (mach_use_waste),16284.305774244063,25413.52864582949,5345.663944547996,103680.8628944587,680.3826477978878,25008.06833468561
non-ferrous metals (mach_use_waste),7123.985678464425,9191.841616481244,2850.444021400488,32828.3734259547,127.66168075032029,7292.361308837229
Construction materials and mining waste (excl. unused mining material) (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Oils and hazardous materials (mach_use_waste),20605.235354599445,20516.649625338483,3361.8160491391222,23251.14464888131,187.9242266475992,14803.604220602165
Sewage (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Mining waste (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Unused waste (mach_use_waste),0.0,0.0,0.0,0.0,0.0,0.0
Food (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
Manure (stock_addition),0.0,0.0,0.0,0.0,0.0,0.0
Textile (stock_addition),4547493.540644386,4128748.750057162,5005386.436306472,18808318.60135072,944153.042351216,3353434.750324392
Wood (stock_addition),68798217.91093612,80523002.46484867,245188208.92029792,145229387.63971508,11255963.828280384,18778054.18992799
Paper (stock_addition),4093637.9006703706,7010943.513266722,2761667.600006087,11944470.97564177,977971.8572172576,7603098.589964461
Plastics (stock_addition),26144936.051615395,12560506.301263193,2646056.8077173224,40503495.9009993,1589879.2375793993,13453613.968591388
Glass (stock_addition),4651802.5475733,7089175.543174583,227213.9679844257,12264808.322786875,445849.4984659899,7116901.419096052
Ashes (stock_addition),0.0,1.7448739831329614,0.0,0.0,0.0,0.0
Steel (stock_addition),192208873.33096668,75552102.3977352,46637128.70771406,202800196.7512219,24113250.82034405,52850117.54902816
Precious metals (stock_addition),944.7409519236024,943.4936127151844,111.9421797301495,5671.1723873941055,36.011613374176065,2126.594405161481
